name	wiki	year	inf
John Dewey	https://en.wikipedia.org/wiki/John_Dewey	1859	0
Samuel Alexander	https://en.wikipedia.org/wiki/Samuel_Alexander	1859	2
Émile Meyerson	https://en.wikipedia.org/wiki/Émile_Meyerson	1859	2
%C3%89mile Meyerson	https://en.wikipedia.org/wiki/%C3%89mile_Meyerson	1859	2
Christian von Ehrenfels	https://en.wikipedia.org/wiki/Christian_von_Ehrenfels	1859	0
Maurice Blondel	https://en.wikipedia.org/wiki/Maurice_Blondel	1861	0
Pierre Duhem	https://en.wikipedia.org/wiki/Pierre_Duhem	1861	1
Rudolf Steiner	https://en.wikipedia.org/wiki/Rudolf_Steiner	1861	2
Han Ryner	https://en.wikipedia.org/wiki/Han_Ryner	1861	1
Alfred North Whitehead	https://en.wikipedia.org/wiki/Alfred_North_Whitehead	1861	15
Tajuddin Muhammad Badruddin	https://en.wikipedia.org/wiki/Tajuddin_Muhammad_Badruddin	1861	1
Georges Palante	https://en.wikipedia.org/wiki/Georges_Palante	1862	3
George Herbert Mead	https://en.wikipedia.org/wiki/George_Herbert_Mead	1863	4
George Santayana	https://en.wikipedia.org/wiki/George_Santayana	1863	0
Heinrich Rickert	https://en.wikipedia.org/wiki/Heinrich_Rickert	1863	3
Charles Cooley	https://en.wikipedia.org/wiki/Charles_Cooley	1864	2
F. C. S. Schiller	https://en.wikipedia.org/wiki/F._C._S._Schiller	1864	1
Hidden@826377	https://en.wikipedia.org/wiki/Hidden@826377	1864	1
Abdulhakim Arvasi	https://en.wikipedia.org/wiki/Abdulhakim_Arvasi	1865	2
Arthur Drews	https://en.wikipedia.org/wiki/Arthur_Drews	1865	0
J. M. E. McTaggart	https://en.wikipedia.org/wiki/J._M._E._McTaggart	1866	2
Augustyn Wróblewski	https://en.wikipedia.org/wiki/Augustyn_Wróblewski	1866	1
Benedetto Croce	https://en.wikipedia.org/wiki/Benedetto_Croce	1866	4
Augustyn Wr%C3%B3blewski	https://en.wikipedia.org/wiki/Augustyn_Wr%C3%B3blewski	1866	1
Émile Chartier	https://en.wikipedia.org/wiki/Émile_Chartier	1868	3
%C3%89mile Chartier	https://en.wikipedia.org/wiki/%C3%89mile_Chartier	1868	3
Charles Maurras	https://en.wikipedia.org/wiki/Charles_Maurras	1868	0
Edward Abramowski	https://en.wikipedia.org/wiki/Edward_Abramowski	1868	2
Léon Brunschvicg	https://en.wikipedia.org/wiki/Léon_Brunschvicg	1869	4
Emma Goldman	https://en.wikipedia.org/wiki/Emma_Goldman	1869	0
L%C3%A9on Brunschvicg	https://en.wikipedia.org/wiki/L%C3%A9on_Brunschvicg	1869	5
Nikolay Lossky	https://en.wikipedia.org/wiki/Nikolay_Lossky	1870	1
Upasni Maharaj	https://en.wikipedia.org/wiki/Upasni_Maharaj	1870	1
Harold Arthur Prichard	https://en.wikipedia.org/wiki/Harold_Arthur_Prichard	1871	3
Émile Armand	https://en.wikipedia.org/wiki/Émile_Armand	1872	0
%C3%89mile Armand	https://en.wikipedia.org/wiki/%C3%89mile_Armand	1872	1
Bertrand Russell	https://en.wikipedia.org/wiki/Bertrand_Russell	1872	1
Max Adler (Marxist)	https://en.wikipedia.org/wiki/Max_Adler_(Marxist)	1873	0
G. E. Moore	https://en.wikipedia.org/wiki/G._E._Moore	1873	1
Max Scheler	https://en.wikipedia.org/wiki/Max_Scheler	1874	1
Ernst Cassirer	https://en.wikipedia.org/wiki/Ernst_Cassirer	1874	2
Nikolai Berdyaev	https://en.wikipedia.org/wiki/Nikolai_Berdyaev	1874	2
Emil Lask	https://en.wikipedia.org/wiki/Emil_Lask	1875	1
Giovanni Gentile	https://en.wikipedia.org/wiki/Giovanni_Gentile	1875	1
W. D. Ross	https://en.wikipedia.org/wiki/W._D._Ross	1877	1
Muhammad Iqbal	https://en.wikipedia.org/wiki/Muhammad_Iqbal	1877	0
Maurice Halbwachs	https://en.wikipedia.org/wiki/Maurice_Halbwachs	1877	2
Martin Buber	https://en.wikipedia.org/wiki/Martin_Buber	1878	3
Joseph Mar%C3%A9chal	https://en.wikipedia.org/wiki/Joseph_Mar%C3%A9chal	1878	1
Othmar Spann	https://en.wikipedia.org/wiki/Othmar_Spann	1878	1
Joseph Maréchal	https://en.wikipedia.org/wiki/Joseph_Maréchal	1878	1
Oswald Spengler	https://en.wikipedia.org/wiki/Oswald_Spengler	1880	0
Morris Raphael Cohen	https://en.wikipedia.org/wiki/Morris_Raphael_Cohen	1880	2
Hans Kelsen	https://en.wikipedia.org/wiki/Hans_Kelsen	1881	1
Curt John Ducasse	https://en.wikipedia.org/wiki/Curt_John_Ducasse	1881	2
Jacques Maritain	https://en.wikipedia.org/wiki/Jacques_Maritain	1882	2
Nicolai Hartmann	https://en.wikipedia.org/wiki/Nicolai_Hartmann	1882	1
Louis Lavelle	https://en.wikipedia.org/wiki/Louis_Lavelle	1883	0
Clarence Irving Lewis	https://en.wikipedia.org/wiki/Clarence_Irving_Lewis	1883	3
José Ortega y Gasset	https://en.wikipedia.org/wiki/José_Ortega_y_Gasset	1883	5
Karl Jaspers	https://en.wikipedia.org/wiki/Karl_Jaspers	1883	4
Jos%C3%A9 Ortega y Gasset	https://en.wikipedia.org/wiki/Jos%C3%A9_Ortega_y_Gasset	1883	5
Gaston Bachelard	https://en.wikipedia.org/wiki/Gaston_Bachelard	1884	8
%C3%89tienne Gilson	https://en.wikipedia.org/wiki/%C3%89tienne_Gilson	1884	4
Étienne Gilson	https://en.wikipedia.org/wiki/Étienne_Gilson	1884	4
Zechariah Chafee	https://en.wikipedia.org/wiki/Zechariah_Chafee	1885	0
Gy%C3%B6rgy Luk%C3%A1cs	https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Luk%C3%A1cs	1885	5
Eugène Minkowski	https://en.wikipedia.org/wiki/Eugène_Minkowski	1885	1
Eug%C3%A8ne Minkowski	https://en.wikipedia.org/wiki/Eug%C3%A8ne_Minkowski	1885	1
Hidden@40169969	https://en.wikipedia.org/wiki/Hidden@40169969	1885	5
Franz Rosenzweig	https://en.wikipedia.org/wiki/Franz_Rosenzweig	1886	1
Karl Korsch	https://en.wikipedia.org/wiki/Karl_Korsch	1886	1
Kurt Koffka	https://en.wikipedia.org/wiki/Kurt_Koffka	1886	1
C. D. Broad	https://en.wikipedia.org/wiki/C._D._Broad	1887	1
Carl Schmitt	https://en.wikipedia.org/wiki/Carl_Schmitt	1888	0
Xavier Zubiri	https://en.wikipedia.org/wiki/Xavier_Zubiri	1889	3
Martin Heidegger	https://en.wikipedia.org/wiki/Martin_Heidegger	1889	1
Ludwig Wittgenstein	https://en.wikipedia.org/wiki/Ludwig_Wittgenstein	1889	16
Gabriel Marcel	https://en.wikipedia.org/wiki/Gabriel_Marcel	1889	0
Renzo Novatore	https://en.wikipedia.org/wiki/Renzo_Novatore	1890	0
Jan Muka?ovský	https://en.wikipedia.org/wiki/Jan_Muka?ovský	1891	0
Rudolf Carnap	https://en.wikipedia.org/wiki/Rudolf_Carnap	1891	3
Antonio Gramsci	https://en.wikipedia.org/wiki/Antonio_Gramsci	1891	0
Jan Muka%C5%99ovsk%C3%BD	https://en.wikipedia.org/wiki/Jan_Muka%C5%99ovsk%C3%BD	1891	0
Walter Benjamin	https://en.wikipedia.org/wiki/Walter_Benjamin	1892	1
Brand Blanshard	https://en.wikipedia.org/wiki/Brand_Blanshard	1892	0
Alexandre Koyré	https://en.wikipedia.org/wiki/Alexandre_Koyré	1892	4
Muhammad Husayn Tabataba'i	https://en.wikipedia.org/wiki/Muhammad_Husayn_Tabataba'i	1892	3
Alexandre Koyr%C3%A9	https://en.wikipedia.org/wiki/Alexandre_Koyr%C3%A9	1892	5
Edwin Arthur Burtt	https://en.wikipedia.org/wiki/Edwin_Arthur_Burtt	1892	2
John Anderson (philosopher)	https://en.wikipedia.org/wiki/John_Anderson_(philosopher)	1893	5
Roman Ingarden	https://en.wikipedia.org/wiki/Roman_Ingarden	1893	1
